tenor,discount_factor,rc,rann,fwd_c,fwd_ann
135,0.0127340879654983,0.0323220206628713,0.0328500508169924,0.0324499317850171,0.0329821722757226
136,0.0123272874868757,0.0323230880806029,0.0328511533000391,0.0324500805582012,0.0329823259557809
137,0.0119334825694084,0.0323241399160981,0.0328522396901148,0.0324502267888443,0.0329824770094618
138,0.0115522580597861,0.0323251765080491,0.0328533103369879,0.0324503705415264,0.0329826255034742
139,0.0111832120670799,0.0323261981854067,0.0328543655803679,0.0324505118786628,0.0329827715022908
140,0.0108259555390668,0.0323272052677283,0.0328554057502639,0.0324506508605941,0.0329829150682413
141,0.0104801118520898,0.0323281980655097,0.0328564311673283,0.0324507875456711,0.0329830562616003
142,0.0101453164140191,0.0323291768805044,0.0328574421431853,0.0324509219903358,0.0329831951406701
143,0.0098212162798975,0.0323301420060286,0.0328584389807467,0.0324510542491986,0.032983331761862
144,0.00950746977986338,0.0323310937272537,0.0328594219745133,0.0324511843751119,0.0329834661797701
145,0.00920374615896037,0.0323320323214871,0.0328603914108656,0.0324513124192398,0.0329835984472455
146,0.00890972522845302,0.0323329580584411,0.0328613475683408,0.0324514384311249,0.0329837286154644
147,0.00862509702828156,0.0323338712004909,0.0328622907178995,0.0324515624587519,0.0329838567339928
148,0.00834956150029958,0.0323347720029224,0.0328632211231814,0.0324516845486082,0.0329839828508511
149,0.00808282817195024,0.0323356607141699,0.0328641390407511,0.0324518047457415,0.0329841070125723
150,0.00782461585004776,0.0323365375760444,0.0328650447203334,0.0324519230938154,0.0329842292642588
